anti-corps	3
anti-corruption	1
anti-coup	1
anti-crash	1
anti-crime	1
anti-criminalité	3
anti-célibataire	1
anti-dauphin	1
anti-desperado	1
anti-dieu	1
anti-discrimination	3
anti-dopage	1
anti-douleur	17
anti-drague	1
anti-dramatique	2
anti-dreyfusard	2
anti-drogue	29
anti-débauche	2
anti-décharge	1
anti-décollage	3
anti-démocratique	4
anti-démon	3
anti-désir	3
anti-escalade	1
anti-esclavage	1
anti-establishment	3
anti-existence	2
anti-explosion	1
anti-fantôme	1
anti-fasciste	1
anti-femme	5
anti-flingage	2
anti-flip	2
anti-frigo	2
anti-féministe	4
anti-fusionnel	1
anti-fusée	6
anti-gang	1
anti-gel	1
anti-gerce	1
anti-gouvernement	1
anti-gouvernementaliste	1
anti-graffiti	1
anti-gravité	3
anti-grimace	1
anti-grincement	1
anti-gros	3
anti-hanneton	2
anti-hypertenseur	1
anti-immigration	3
anti-immigré	2
anti-impérialiste	2
anti-incendie	8
